,production_number,production_company
0,0,0
1,1,Columbia Pictures
2,2,Warner Bros.
3,3,Universal Pictures
4,4,The Asylum
5,5,Paramount Pictures
6,6,Walt Disney Pictures
7,7,Lionsgate
8,8,New Line Cinema
9,9,Twentieth Century Fox
10,10,Screen Gems
11,11,Millennium Films
12,12,Blumhouse Productions
13,13,Cartel Pictures
14,14,Fox 2000 Pictures
15,15,Summit Entertainment
16,16,Fox Searchlight Pictures
17,17,Netflix
18,18,Dimension Films
19,19,Metro-Goldwyn-Mayer (MGM)
20,20,DreamWorks Animation
21,21,The Weinstein Company
22,22,DreamWorks
23,23,Cyfuno Ventures
24,24,Duplass Brothers Productions
25,25,After Dark Films
26,26,Arrowstorm Entertainment
27,27,Focus Features
28,28,Touchstone Pictures
29,29,Hollywood Media Bridge
30,30,CineRidge Entertainment
31,31,CBS Films
32,32,Alcon Entertainment
33,33,Universal 1440 Entertainment
34,34,Annapurna Pictures
35,35,Feifer Worldwide
36,36,Glass Eye Pix
37,37,Anonymous Content
38,38,Swirl Films
39,39,Rapid Heart Pictures
40,40,LD Entertainment
41,41,Amazon Studios
42,42,Voltage Pictures
43,43,Scorpio Film Releasing
44,44,WWE Studios
45,45,Marvel Studios
46,46,MarVista Entertainment
47,47,Hybrid
48,48,Yale Productions
49,49,Relativity Media
50,50,New Artists Alliance
51,51,Patriot Pictures
52,52,Silver Peak Productions
53,53,ESX Entertainment
54,54,BondIt Media Capital
55,55,Regency Enterprises
56,56,Bold Films
57,57,Unified Pictures
58,58,Campfire
59,59,RabbitBandini Productions
60,60,Snowfort Pictures
61,61,Anchor Bay Films
62,62,Cranium Entertainment
63,63,Justice for All Productions
64,64,Pure Flix Entertainment
65,65,Modernciné
66,66,Synthetic Cinema International
67,67,The Tyler Perry Company
68,68,Status Media & Entertainment
69,69,BCDF Pictures
70,70,Guest House Films
71,71,Film Science
72,72,Awesomeness Films
73,73,Diablo Entertainment (II)
74,74,Paramount Vantage
75,75,Indy Entertainment
76,76,Worldview Entertainment
77,77,Big Beach Films
78,78,G It's Entertainment
79,79,Rogue Pictures
80,80,Elysium Bandini Studios
81,81,Slightly Distorted Productions
82,82,Burn Later Productions
83,83,TriStar Pictures
84,84,Automatik Entertainment
85,85,Walt Disney Animation Studios
86,86,Stage 6 Films
87,87,Black Bear Pictures
88,88,Collective Development
89,89,Grindstone Entertainment Group
90,90,A24
91,91,Full Moon Entertainment
92,92,iDiC Entertainment
93,93,Endgame Entertainment
94,94,Pixar Animation Studios
95,95,Switzer Entertainment Group
96,96,Parts and Labor
97,97,40 Acres & A Mule Filmworks
