,writer_number,lead_writer
0,0,0
1,1,Tyler Perry
2,2,Jake Helgren
3,3,Rolfe Kanefsky
4,4,Justin Price
5,5,James Cullen Bressack
6,6,Charles Band
7,7,Rene Perez
8,8,Rob Williams
9,9,Chad Law
10,10,Ken Del Vecchio
11,11,Mark Atkins
12,12,BC Fourteen
13,13,Matt Riddlehoover
14,14,John Doolan
15,15,Allan Loeb
16,16,Jared Cohn
17,17,Adam Rifkin
18,18,Dan Fogelman
19,19,Christopher Markus
20,20,Robert Conway
21,21,Jason Friedberg
22,22,Sean Anders
23,23,Joe Swanberg
24,24,Barry Massoni
25,25,Scott Neustadter
26,26,Brandon Slagle
27,27,Mark Polish
28,28,Len Kabasinski
29,29,Adam Green
30,30,Jamie Nash
31,31,Scotty Mullen
32,32,Timothy A. Chey
33,33,Justin Lee
34,34,Brittany Wiscombe
35,35,DJ Perry
36,36,Christopher R. Mihm
37,37,Sebastian Gutierrez
38,38,Kevin Smith
39,39,Jesse V. Johnson
40,40,Gregory Hatanaka
41,41,Mike Flanagan
42,42,Ted Chalmers
43,43,Mark Duplass
44,44,Michael Feifer
45,45,David Lowery
46,46,Nicole Holofcener
47,47,Ross Patterson
48,48,Woody Allen
49,49,Gerald Crum
50,50,Wes Miller
51,51,Tom DeNucci
52,52,Rhett Reese
53,53,A.D. Calvo
54,54,Jonathan Aibel
55,55,John Schneider
56,56,Gary Dauberman
57,57,Eric England
58,58,T.C. Christensen
59,59,Geoff Meed
60,60,Nicholas Gyeney
61,61,Stephen King
62,62,Mitchell Altieri
63,63,Israel Luna
64,64,Judd Apatow
65,65,Joseph Mazzaferro
66,66,Christine Conradt
67,67,Sally Meyer
68,68,Brett Haley
69,69,Mark Young
70,70,Jim Strouse
71,71,Anne K. Black
72,72,Brian Bird
73,73,Dustin Mills
74,74,Sean Cain
75,75,John Lasseter
76,76,Harley Wallen
77,77,Chris Sivertson
78,78,Jacob Cooney
79,79,Mickey Keating
80,80,Jesse Baget
81,81,Jon Lucas
82,82,Edward Burns
83,83,Noah Baumbach
84,84,Ti West
85,85,Andrew Bujalski
86,86,Lynn Shelton
87,87,Tom McCarthy
88,88,Daniel Schechter
89,89,Christopher Landon
90,90,Mark Neveldine
91,91,Boaz Yakin
92,92,Paul Weitz
93,93,Miles Doleac
94,94,Dave Christiano
95,95,Russ Parr
96,96,Leigh Scott
97,97,Joss Whedon
98,98,Jean-Claude La Marre
99,99,Bryan Dick
100,100,Paul D. Hannah
101,101,Noah Buschel
102,102,Jonathan Raymond
103,103,Melissa Rosenberg
104,104,Alex Kendrick
105,105,Michael J. Gallagher
106,106,Rick Alverson
107,107,David A. Prior
108,108,Rustam Branaman
109,109,Glenn Gers
110,110,Bobcat Goldthwait
111,111,Adam Sandler
112,112,Dave Boyle
113,113,Lorene Scafaria
114,114,J.C. Calciano
115,115,Joel Souza
116,116,Maya Forbes
117,117,Adam Rockoff
118,118,Sophie Tilson
119,119,Destin Daniel Cretton
120,120,Will Ferrell
121,121,David Zellner
122,122,Ed Dougherty
123,123,Jay Lee
124,124,Allison Burnett
125,125,Seth Rogen
126,126,B. Harrison Smith
127,127,Christian Sesma
128,128,Brian Jun
129,129,Elias
130,130,Daryn Tufts
131,131,Brad Jones
132,132,B. Luciano Barsuglia
133,133,Matt Lang
134,134,Jon Garcia
135,135,Michael Almereyda
136,136,Joseph Ciminera
137,137,Stephen Biro
138,138,Jeremy Adams
139,139,Dustin Lance Black
140,140,Hunter G. Williams
141,141,Marcy Holland
142,142,Christopher Forbes
143,143,Richard Griffin
144,144,Blayne Weaver
145,145,James Gunn
146,146,Joel Potrykus
147,147,Mike White
148,148,Michael Hurst
149,149,Robert Ben Garant
150,150,Brian T. Jaynes
151,151,Travis Betz
152,152,Kenny Yakkel
153,153,Alex Cox
154,154,Eddie Lengyel
155,155,Terrence Malick
156,156,Spencer T. Folmar
157,157,Gary Lundgren
158,158,H.P. Mendoza
159,159,Michael Baumgarten
160,160,Jace Anderson
161,161,Aline Brosh McKenna
162,162,James Vanderbilt
163,163,Shana Feste
164,164,Brooke Purdy
165,165,Travis Campbell
166,166,Max Landis
167,167,Joany Kane
168,168,Ian Shorr
169,169,Onur Tukel
170,170,Bob Byington
171,171,Shauna Cross
172,172,Quentin Tarantino
173,173,Emily Hagins
174,174,Anthony Steven Giordano
175,175,Michelle Davidson
176,176,Benjamin Gourley
177,177,Harold Cronk
178,178,Nate Atkins
179,179,Phil Hay
180,180,Marques Houston
181,181,John Oak Dalton
182,182,Jamie Linden
183,183,Ron Bonk
184,184,Dan Garcia
185,185,Tom Malloy
186,186,Tom J. Astle
187,187,Kevin Carraway
188,188,Chuck Konzelman
189,189,Neil Breen
190,190,Mark Polonia
191,191,Kamal Ahmed
192,192,Marc Lawrence
193,193,Richard Linklater
194,194,Larry Blamire
195,195,Richard LaGravenese
196,196,Tommy Blaze
197,197,Sean Paul Murphy
198,198,Lou Simon
199,199,Sean Ryan
200,200,Eric Roth
201,201,Jake Wade Wall
202,202,Brian Brightly
203,203,Josephine Decker
204,204,Ryan Callaway
205,205,Craig McMahon
206,206,Neil Johnson
207,207,Bryan Brewer
208,208,Timothy Armstrong
209,209,Chuck Walker
210,210,Lawrence Michael Levine
211,211,Maclain Nelson
212,212,Jody Savin
213,213,David H. Steinberg
214,214,Mike Binder
215,215,D. Glase Lomond
216,216,James Franco
217,217,Garry Charles
218,218,John Sayles
219,219,Ted Beck
220,220,Paul Shoulberg
221,221,John Swetnam
222,222,John Lyde
223,223,Todd Sheets
224,224,Mitchell Lichtenstein
225,225,Brandon Broussard
226,226,Jon Hurwitz
227,227,Jonathan Goldstein
